,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
330,delta del tigre,17,NG,1580239225,44,5.5,6.0,302.58,4.61
331,sarahan,90,IN,1580239225,88,31.52,77.8,262.3,4.38
332,stornoway,40,GB,1580239225,86,58.21,-6.39,278.15,5.7
333,avera,1,US,1580239226,41,33.19,-82.53,289.82,2.1
334,saint-gaudens,90,FR,1580239226,70,43.08,0.67,282.59,4.1
335,puruliya,16,IN,1580239226,39,23.33,86.37,292.94,3.77
336,celestun,0,MX,1580239226,79,20.87,-90.4,296.63,3.56
337,romny,82,UA,1580239227,90,50.75,33.47,273.22,3.4
338,yulara,0,AU,1580238947,18,-25.24,130.99,302.15,4.1
339,vardo,75,NO,1580239227,92,70.37,31.11,265.15,4.1
340,springbok,0,ZA,1580239228,22,-29.66,17.89,298.19,4.0
341,rancho palos verdes,7,BR,1580239228,48,-23.02,-52.96,304.66,2.78
342,bermeo,20,ES,1580239228,81,43.42,-2.72,285.93,1.5
343,ulkan,50,RU,1580239228,91,57.24,107.32,261.31,2.36
344,clyde river,90,US,1580238971,69,41.3,-82.98,275.37,4.6
345,dawson creek,1,US,1580239229,36,31.77,-84.45,290.15,3.1
346,leh,95,IN,1580239229,83,34.17,77.58,253.61,2.66
347,patea,100,NZ,1580239229,97,-39.76,174.48,292.59,2.68
348,kamyshla,99,RU,1580239229,93,54.12,52.14,254.99,2.11
349,faya,0,SA,1580239229,76,18.39,42.45,287.15,3.1
350,kenai,90,US,1580239108,77,60.55,-151.26,258.71,1.5
351,padilla,40,CO,1580239230,48,3.22,-76.31,303.15,1.0
352,anamur,75,TR,1580239230,100,36.08,32.84,282.15,2.1
353,aswan,0,EG,1580239230,19,24.09,32.91,292.15,4.1
354,paciran,85,ID,1580239230,87,-6.88,112.38,298.91,1.33
355,grindavik,20,IS,1580239230,67,63.84,-22.43,273.15,2.6
356,jalu,0,LY,1580239231,47,29.03,21.55,288.35,2.51
357,genhe,0,CN,1580239231,94,50.78,121.52,253.83,1.47
358,sjenica,77,RS,1580239231,90,43.27,20.0,274.62,4.24
359,pohrebyshche,90,UA,1580239231,100,49.49,29.26,272.15,5.0
360,labuhan,51,ID,1580239231,89,-6.88,112.21,298.11,0.81
361,paamiut,1,GL,1580239231,51,61.99,-49.67,262.64,5.28
362,abu jubayhah,35,IN,1580239232,62,24.6,72.7,285.85,0.84
363,yongan,97,CN,1580239232,93,39.7,113.69,263.26,2.53
364,mabopane,0,ZA,1580239232,68,-25.5,28.1,294.15,1.0
365,port-cartier,20,CA,1580239232,41,50.03,-66.87,266.15,4.1
366,dogondoutchi,84,NE,1580239233,6,13.64,4.03,298.76,3.62
367,progreso,40,MX,1580239233,46,21.28,-89.67,305.37,3.42
368,vila franca do campo,90,PT,1580239233,100,42.03,-8.16,288.71,4.1
369,ponta delgada,75,PT,1580239233,100,38.73,-28.27,290.15,6.2
370,poum,100,NC,1580239234,81,-20.23,164.02,299.47,7.7
371,dakar,79,SN,1580239234,73,14.69,-17.44,300.15,3.1
372,gympie,6,AU,1580239234,99,-26.19,152.66,296.48,1.05
373,schwandorf,75,DE,1580239234,74,49.33,12.11,275.93,2.6
374,hami,19,CN,1580239234,73,42.8,93.45,261.47,0.59
375,waling,7,NP,1580239235,70,27.98,83.77,284.38,1.64
376,huarmey,48,PE,1580239235,54,-10.07,-78.15,300.68,4.54
377,trelew,17,AR,1580239050,21,-43.25,-65.31,294.82,7.23
378,sept-iles,20,CA,1580239079,41,50.2,-66.38,266.15,4.1
379,glens falls,1,US,1580239236,44,34.87,-88.41,289.26,2.1
380,akdepe,0,TM,1580239236,80,42.06,59.38,277.15,3.1
381,san cristobal,17,ML,1580239236,4,13.3,-4.9,303.27,3.92
382,klaksvik,100,FO,1580238958,100,62.23,-6.59,272.15,8.41
383,giyani,20,ZA,1580239236,59,-23.3,30.72,297.22,1.93
384,mapiripan,78,CO,1580239236,30,2.89,-72.13,309.28,3.7
