,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
296,lukulu,61,ZM,1580226530,52,-14.37,23.24,302.2,0.48
297,srivardhan,0,IN,1580226530,67,18.03,73.02,295.78,1.16
298,ambilobe,99,MG,1580226530,87,-13.2,49.05,299.31,2.06
299,abu samrah,50,IN,1580226530,42,24.6,72.7,290.79,1.46
300,marang,20,MY,1580226465,83,5.21,103.21,300.15,1.0
301,haines junction,90,US,1580226530,97,59.23,-135.44,277.15,7.7
302,saint-joseph,0,RE,1580226531,65,-21.37,55.62,298.15,3.1
303,kalmunai,91,LK,1580226493,74,7.42,81.82,299.7,5.8
304,chuy,0,UY,1580226531,45,-33.7,-53.46,298.07,4.14
305,usinsk,18,RU,1580226531,99,65.99,57.53,242.37,2.62
306,ruwi,20,OM,1580226531,49,23.6,58.55,293.15,2.6
307,vanavara,100,RU,1580226532,95,60.34,102.28,260.94,2.07
308,guymon,90,US,1580226532,93,36.68,-101.48,276.15,7.7
309,langxiang,94,CN,1580226532,94,46.95,128.88,258.57,1.14
310,nanortalik,33,GL,1580226532,69,60.14,-45.24,267.16,6.96
311,pochutla,20,MX,1580226532,73,15.74,-96.47,298.15,4.69
312,port lincoln,100,CD,1580226533,87,-7.03,29.76,296.32,9.4
313,parham,75,AG,1580226533,65,17.1,-61.77,301.48,3.6
314,reze,98,FR,1580226533,81,47.18,-1.55,283.15,9.3
315,jiangyou,66,CN,1580226534,76,31.77,104.72,273.43,1.03
316,esperance,90,AU,1580226534,94,-33.87,121.9,293.15,6.2
317,hasaki,75,JP,1580226534,100,35.73,140.83,286.15,6.2
318,furano,100,JP,1580226534,65,43.28,142.47,263.3,2.7
319,aberdeen,33,GB,1580226241,65,57.14,-2.1,278.15,2.1
320,viedma,100,AR,1580226535,38,-40.81,-63.0,298.28,7.95
321,bilibino,100,RU,1580226535,96,68.05,166.44,256.83,0.15
322,kalispell,90,US,1580226535,86,48.2,-114.31,273.71,1.2
323,hashtrud,98,IR,1580226535,66,37.48,47.05,264.57,0.9
324,seabra,75,BR,1580226535,62,-12.42,-41.77,302.15,2.6
325,raga,87,SS,1580226536,8,8.46,25.68,306.18,2.51
326,modrica,83,RS,1580226536,76,43.52,21.36,282.15,1.5
327,sola,75,VU,1580226536,94,-13.88,167.55,300.15,4.1
328,ardabil,40,IR,1580226536,58,38.25,48.29,272.15,7.2
329,taylorville,90,US,1580226519,100,39.55,-89.29,272.15,2.1
330,sur,0,OM,1580226367,50,22.57,59.53,291.74,8.74
331,iqaluit,20,CA,1580226292,69,63.75,-68.51,249.26,13.4
332,kahului,1,US,1580226537,82,20.89,-156.47,292.59,3.42
333,brae,40,GB,1580226537,86,60.4,-1.35,277.15,5.1
334,punta alta,2,PH,1580226537,92,8.99,125.34,296.8,1.55
335,stepnyak,100,KZ,1580226538,93,52.83,70.78,252.61,7.62
336,marshall,1,US,1580226538,75,34.38,-86.33,283.15,0.89
337,meridian,90,US,1580226296,100,43.61,-116.39,278.71,3.6
338,almenara,100,BR,1580226538,82,-16.18,-40.69,300.19,1.23
339,richards bay,90,US,1580226539,84,46.84,-95.91,261.48,1.18
340,mitu,43,CO,1580226539,50,1.2,-70.17,305.88,1.72
341,lavrentiya,0,RU,1580226539,81,65.58,-171.0,248.02,2.56
342,marsh harbour,40,GB,1580226539,86,53.65,-1.81,279.26,6.7
343,uglovka,100,RU,1580226540,96,58.24,33.51,269.82,2.65
344,camacha,40,PT,1580226540,59,33.08,-16.33,292.15,3.6
345,bambous virieux,75,MU,1580226540,74,-20.26,57.41,299.15,1.5
346,mehamn,78,NO,1580226540,67,71.04,27.85,265.15,6.7
347,morant bay,20,JM,1580226541,61,17.9,-76.43,301.15,2.1
348,saint-leu,99,RE,1580226541,65,-21.15,55.28,298.15,3.1
349,san lawrenz,34,ML,1580226541,3,13.3,-4.9,308.47,5.89
350,san carlos de bariloche,34,ML,1580226274,3,13.3,-4.9,308.47,5.89
351,oktyabrskiy,5,RU,1580226541,96,54.48,53.47,252.21,1.7
352,patea,100,NZ,1580226542,97,-39.76,174.48,291.48,10.14
353,shingu,55,JP,1580226542,87,33.73,135.98,288.51,3.1
354,esil,48,KZ,1580226542,98,51.96,66.4,251.04,4.12
355,hami,8,CN,1580226542,78,42.8,93.45,261.45,1.05
356,oriximina,0,BR,1580226543,59,-1.77,-55.87,303.8,2.32
357,yumen,0,CN,1580226543,49,40.28,97.2,266.5,2.06
358,byron bay,90,US,1580226543,100,44.03,-92.65,266.48,3.6
359,mersing,94,MY,1580226543,79,2.43,103.84,300.66,5.53
360,honiara,20,SB,1580226543,88,-9.43,159.95,299.15,1.5
361,ylojarvi,90,FI,1580226544,100,61.56,23.6,275.37,2.6
362,acapulco,5,MX,1580226544,78,16.86,-99.89,298.15,1.5
363,rock sound,90,US,1580226544,86,42.67,-89.07,272.04,1.5
364,gravdal,75,NO,1580226544,65,68.12,13.5,275.15,2.6
365,san quintin,34,ML,1580226541,3,13.3,-4.9,308.47,5.89
366,cherskiy,100,RU,1580226545,97,68.75,161.3,244.04,4.54
367,itape,0,PY,1580226545,23,-25.85,-56.62,311.2,1.34
368,shenxian,78,CN,1580226545,56,36.24,115.67,276.38,1.8
369,paralimni,40,CY,1580226545,82,35.04,33.98,287.15,3.1
370,wasco,1,US,1580226546,91,35.59,-119.34,282.59,2.34
371,kargat,100,RU,1580226546,95,55.2,80.28,266.18,3.91
372,mgandu,100,TZ,1580226546,93,-5.95,34.13,290.84,2.21
373,aldan,99,RU,1580226546,94,58.6,125.39,253.94,2.96
374,marovoay,75,MG,1580226547,100,-16.1,46.63,297.15,2.1
375,ngora,100,UG,1580226547,80,1.43,33.78,294.03,3.17
376,kibala,1,TD,1580226547,27,9.11,18.35,304.15,4.1
377,abha,40,SA,1580226504,77,18.22,42.51,289.15,5.1
378,itarema,32,BR,1580226548,54,-2.92,-39.92,305.27,5.11
379,moroni,40,KM,1580226548,74,-11.7,43.26,303.15,3.1
380,sao filipe,2,IN,1580226474,44,20.51,76.21,294.38,2.86
381,trinidad,75,BO,1580226435,88,-14.83,-64.9,300.15,2.1
382,bereda,90,ES,1580226548,87,43.27,-7.54,287.59,0.5
383,yulara,0,AU,1580226549,15,-25.24,130.99,304.15,3.6
384,ituporanga,97,BR,1580226549,66,-27.41,-49.6,303.15,0.89
385,andreapol,100,RU,1580226549,92,56.65,32.27,272.57,1.75
